primary_location,X_position,Y_position,Structure,Drd2 Expression,Layer,type
Hippocampus,12858,18452,3.71942170672119,6.07012035583464,,Hippocampus dentate gyrus
Hippocampus,12493,18144,4.18086981875822,5.88334742180896,,Hippocampus dentate gyrus
Hippocampus,13621,18031,3.99816383654252,5.43325526932084,,Hippocampus dentate gyrus
Amygdala,23952.744140625,10462.9013671875,1.14595574387349,10.9262166405024,,Amygdala - NeuN+
Cortex,5038,19845,3.27406374514103,4.95726495726496,Cortical layer II/III,Cortical layer II/III - NeuN+
Cortex,5556,19538,3.00415774779394,3.64207221350079,Cortical layer IV,Cortical layer IV - NeuN+
Cortex,5997,19241,3.10702566183172,2.68363215731637,Cortical layer V,Cortical layer V - NeuN+
Cortex,6557,18797,2.84188926941715,6.60968660968661,Cortical layer VI,Cortical layer VI - NeuN+
Amygdala,24240.041015625,11883.404296875,0.89931847830303,6.37362637362637,,Amygdala - NeuN+
Cortex,7386,21866,3.29458104134537,5.99870717517776,Cortical layer II/III,Cortical layer II/III - NeuN+
Cortex,7692,21379,3.24745836867951,2.12454212454212,Cortical layer IV,Cortical layer IV - NeuN+
Cortex,7995,21047,2.70820712372661,10.9262166405024,Cortical layer V,Cortical layer V - NeuN+
Cortex,8423,20530,2.77993225548416,1.01978021978022,Cortical layer VI,Cortical layer VI - NeuN+
Amygdala,23714.2265625,11241.9111328125,1.20231190389022,5.0989010989011,,Amygdala - NeuN+
Cortex,10355,22958,2.81621991111897,9.56043956043956,Cortical layer II/III,Cortical layer II/III - NeuN+
Cortex,10636,22526,2.9069483237341,3.64207221350079,Cortical layer IV,Cortical layer IV - NeuN+
Cortex,10734,22083,2.73996255355887,1.49967679379444, Cortical layer V,Cortical layer V - NeuN+
Cortex,10907,21517,2.79447046034038,7.4983839689722, Cortical layer VI,Cortical layer VI - NeuN+
Caudoputamen,24192.896484375,14239.904296875,1.78013804950751,157.216117216117,,Caudoputamen - NeuN+
Caudoputamen,23949.630859375,15586.267578125,2.26182167492807,114.725274725275,,Caudoputamen - NeuN+
Caudoputamen,24140.10546875,13193.1123046875,1.93375196042471,133.137973137973,,Caudoputamen - NeuN+
