cortex_layer,X_position,Y_position,Structure,Ighm Expression,type
Layer I,5899,21442,0.719421706721187,12.7472527472527,Cortical layer I
Layer II/III,6083,21055,2.18086981875822,8.0508964719491,Cortical layer II/III
Layer IV,6525,20614,2.99816383654252,4.02544823597455,Cortical layer IV
Layer V,6909,20242,4.14595574387349,17.5274725274725,Cortical layer V
Layer VI,7451,19774,5.27406374514103,43.3001918716204,Cortical layer VI
NeuN+,5038,19845,2.00415774779394,4.95726495726496,Cortical layer II/III - NeuN+
Neuropil,5038,19845,2.10702566183172,6.95304695304695,Cortical layer II/III - Neuropil
NeuN+,5556,19538,2.84188926941715,3.64207221350079,Cortical layer IV - NeuN+
Neuropil,5556,19538,2.89931847830303,10.1978021978022,Cortical layer IV - Neuropil
NeuN+,5997,19241,4.29458104134537,5.36726431463274,Cortical layer V - NeuN+
Neuropil,5997,19241,4.24745836867951,31.1599511599512,Cortical layer V - Neuropil
NeuN+,6557,18797,4.70820712372661,38.7138787138787,Cortical layer VI - NeuN+
Neuropil,6557,18797,4.77993225548416,31.5646258503401,Cortical layer VI - Neuropil
Layer I,8852,23021,1.20231190389022,5.0989010989011,Cortical layer I
Layer II/III,8968,22536,1.81621991111897,6.75757976962796,Cortical layer II/III
Layer IV,9157,22058,2.9069483237341,4.95726495726496,Cortical layer IV
Layer V,9377,21609,3.73996255355887,23.1229235880399,Cortical layer V
Layer VI,9640,21043,4.79447046034038,44.4332810047096,Cortical layer VI
NeuN+,7386,21866,1.78013804950751,2.99935358758888,Cortical layer II/III - NeuN+
Neuropil,7386,21866,2.26182167492807,7.28414442700157,Cortical layer II/III - Neuropil
NeuN+,7692,21379,2.93375196042471,2.12454212454212,Cortical layer IV - NeuN+
Neuropil,7692,21379,3.22376559600234,25.4945054945055,Cortical layer IV - Neuropil
NeuN+,7995,21047,4.20815338743851,7.28414442700157,Cortical layer V - NeuN+
Neuropil,7995,21047,4.25277339131571,12.1402407116693,Cortical layer V - Neuropil
NeuN+,8423,20530,4.86325659090653,74.443956043956,Cortical layer VI - NeuN+
Neuropil,8423,20530,5.04750542500988,48.1562881562881,Cortical layer VI - Neuropil
Layer II/III,4148,18512,1.98036917583086,8.30053667262969,Cortical layer II/III
Layer IV,4576,18267,3.00095989666879,5.0989010989011,Cortical layer IV
Layer V,5068,18013,4.15307953553274,7.47252747252747,Cortical layer V
Layer VI,5789,17625,4.82461426910013,27.5899443022731,Cortical layer VI
NeuN+,10355,22958,1.96932223313488,4.78021978021978,Cortical layer II/III - NeuN+
Neuropil,10355,22958,2.21555623821914,17.8461538461538,Cortical layer II/III - Neuropil
NeuN+,10636,22526,3.16160930776969,3.64207221350079,Cortical layer IV - NeuN+
Neuropil,10636,22526,3.21948518003337,8.4981684981685,Cortical layer IV - Neuropil
NeuN+,10734,22083,4.20115185421892,5.99870717517776,Cortical layer V - NeuN+
Neuropil,10734,22083,3.80214519016445,9.39271255060729,Cortical layer V - Neuropil
NeuN+,10907,21517,5.04234367036261,43.4906270200388,Cortical layer VI - NeuN+
Neuropil,10907,21517,5.06310844211839,36.8253968253968,Cortical layer VI - Neuropil
